가게이름,업종분류,대표메뉴,평균가격,주타겟층,상권분류
가마로강정 성포점,학생편의,닭강정 컵,6000,10-30대,성포고주변
배스킨라빈스 안산성포점,카페/디저트,파인트,9800,10-40대,성포고주변
던킨 안산성포점,카페/디저트,글레이즈드,1500,10-40대,성포고주변
맘스터치 안산성포점,학생편의,싸이버거세트,6900,10-30대,성포고주변
CU 안산주공점,학생편의,컵라면,3000,10-30대,성포고주변
세븐일레븐 안산성포점,학생편의,스낵류,2000,10-40대,성포고주변
롯데리아 안산성포점,학생편의,불고기버거세트,6600,10-40대,성포고주변
크리스피크림도넛 안산성포점,카페/디저트,오리지널글레이즈드,1700,10-40대,성포고주변
안산동물병원,학생편의,반려동물진료,35000,20-60대,성포고주변
태평양약국,학생편의,일반의약품,4000,10-60대,성포고주변
성포경희한의원,일반음식점,한방진료,15000,40-60대,성포고주변
홈플러스 안산고잔점,학생편의,생필품/식재료,15000,20-60대,성포고주변
주공상가 미용실,학생편의,학생컷트,12000,10-40대,성포고주변
선경지정약국,학생편의,상비약,5000,10-60대,성포고주변
지성학원,학생편의,보습강의료,30000,10대,성포고주변
피자스쿨 안산성포점,학생편의,고구마피자,10900,10-30대,성포고주변
네이처리퍼블릭 안산스타프라자점,패션/쇼핑,수딩젤,6000,10-40대,성포고주변
동대문엽기떡볶이 안산성포점,학생편의,엽기떡볶이,14000,10-30대,성포고주변
서부치과,학생편의,치과검진,10000,10-60대,성포고주변
올리브약국,학생편의,영양제,25000,20-60대,성포고주변
아트창작소 미술학원,학생편의,미술수강료,30000,10대,성포고주변
촌장골 안산점,고가음식점,국내산돼지양념구이,23000,40-50대,성포고주변
성포24시감자탕,일반음식점,뼈다귀해장국,10000,30-50대,성포고주변
성포정육식당,고가음식점,삼겹살(200g),16000,30-50대,성포고주변
해산물요리전문점 어부,고가음식점,생선구이정식,14000,40-50대,성포고주변
민낙지 안산성포본점,고가음식점,낙지덮밥,14000,30-50대,성포고주변
명륜진사갈비 안산성포점,고가음식점,숯불돼지갈비 무한리필,19900,20-50대,성포고주변
신선설농탕 안산점,일반음식점,설농탕,10000,30-60대,성포고주변
본죽 안산성포점,일반음식점,전복죽,13000,20-60대,성포고주변
투썸플레이스 안산성포점,카페/디저트,떠먹는아이스박스,6500,20-40대,성포고주변
스타벅스 안산성포DT점,카페/디저트,카페라떼,5000,20-40대,성포고주변
BHC치킨 안산성포점,일반음식점,뿌링클,21000,10-30대,성포고주변
신참떡볶이 안산성포점,학생편의,떡볶이세트,8500,10-20대,성포고주변
컴포즈커피 안산성포점,카페/디저트,아이스아메리카노,1500,10-40대,성포고주변
메가MGC커피 안산성포현대점,카페/디저트,메가리카노,3000,10-50대,성포고주변
이삭토스트 안산성포점,학생편의,햄스페셜토스트,3500,10-30대,성포고주변
라화공방마라탕 성포점,학생편의,마라탕(기본),7000,10-20대,성포고주변
한솥도시락 안산성포동점,학생편의,치킨마요,3800,10-20대,성포고주변
GS25 성포선경점,학생편의,편의점도시락,5200,10-30대,성포고주변
다이소 안산성포동점,학생편의,학용품,2000,10-50대,성포고주변
파리바게뜨 안산성포점,카페/디저트,단팥빵,1800,10-50대,성포고주변
아마스빈 안산성포점,카페/디저트,타피오카밀크티,4200,10-20대,성포고주변
디저트39 안산성포점,카페/디저트,커피류,2900,10-30대,성포고주변
빽다방 안산예술광장점,카페/디저트,빽스치노,3800,10-40대,성포고주변
쥬씨 안산성포점,카페/디저트,딸바믹스쥬스,3000,10-20대,성포고주변
두끼 안산성포점,학생편의,학생무한리필뷔페,9900,10-20대,성포고주변
탕화쿵푸마라탕 성포예술광장점,학생편의,마라탕(100g),1900,10-20대,성포고주변
피자나라치킨공주 안산성포점,일반음식점,피치세트,22900,10-30대,성포고주변
김가네 안산성포점,일반음식점,멸추김밥,5500,10-50대,성포고주변
굽네치킨 성포동점,일반음식점,고추바사삭,22000,10-40대,성포고주변
가마로강정 성포점,학생편의,닭강정 컵,6000,10-30대,성포고주변
배스킨라빈스 안산성포점,카페/디저트,파인트,9800,10-40대,성포고주변
던킨 안산성포점,카페/디저트,글레이즈드,1500,10-40대,성포고주변
맘스터치 안산성포점,학생편의,싸이버거세트,6900,10-30대,성포고주변
CU 안산주공점,학생편의,컵라면,3000,10-30대,성포고주변
세븐일레븐 안산성포점,학생편의,스낵류,2000,10-40대,성포고주변
롯데리아 안산성포점,학생편의,불고기버거세트,6600,10-40대,성포고주변
크리스피크림도넛 안산성포점,카페/디저트,오리지널글레이즈드,1700,10-40대,성포고주변
안산동물병원,학생편의,반려동물진료,35000,20-60대,성포고주변
태평양약국,학생편의,일반의약품,4000,10-60대,성포고주변
성포경희한의원,일반음식점,한방진료,15000,40-60대,성포고주변
홈플러스 안산고잔점,학생편의,생필품/식재료,15000,20-60대,성포고주변
주공상가 미용실,학생편의,학생컷트,12000,10-40대,성포고주변
선경지정약국,학생편의,상비약,5000,10-60대,성포고주변
지성학원,학생편의,보습강의료,30000,10대,성포고주변
피자스쿨 안산성포점,학생편의,고구마피자,10900,10-30대,성포고주변
네이처리퍼블릭 안산스타프라자점,패션/쇼핑,수딩젤,6000,10-40대,성포고주변
동대문엽기떡볶이 안산성포점,학생편의,엽기떡볶이,14000,10-30대,성포고주변
서부치과,학생편의,치과검진,10000,10-60대,성포고주변
올리브약국,학생편의,영양제,25000,20-60대,성포고주변
아트창작소 미술학원,학생편의,미술수강료,30000,10대,성포고주변
SPAO 안산중앙점,패션/쇼핑,의류/패션잡화,29000,10-20대,중앙동로데오
탑텐 안산중앙점,패션/쇼핑,베이직티셔츠,15000,10-30대,중앙동로데오
올리브영 안산중앙점,패션/쇼핑,화장품/뷰티소품,12000,10-30대,중앙동로데오
두끼 안산중앙점,학생편의,학생무한리필뷔페,9900,10-20대,중앙동로데오
탕화쿵푸마라탕 중앙역점,학생편의,마라탕(기본),7500,10-20대,중앙동로데오
라화공방마라탕 중앙점,학생편의,마라탕꿔바로우세트,8500,10-20대,중앙동로데오
디저트39 안산중앙점,카페/디저트,대용량아메리카노,2900,10-30대,중앙동로데오
빽다방 안산중앙역점,카페/디저트,아이스아메리카노,2000,10-40대,중앙동로데오
메가MGC커피 안산중앙로데오점,카페/디저트,메가리카노,3000,10-50대,중앙동로데오
컴포즈커피 안산중앙점,카페/디저트,아메리카노,1500,10-40대,중앙동로데오
아마스빈 안산중앙점,카페/디저트,타피오카밀크티,4200,10-20대,중앙동로데오
공차 안산중앙점,카페/디저트,블랙밀크티펄,4700,10-20대,중앙동로데오
설빙 안산중앙점,카페/디저트,인절미설빙,9500,10-30대,중앙동로데오
인생네컷 안산중앙로데오점,학생편의,4컷사진(2장),4000,10-20대,중앙동로데오
포토이즘박스 안산중앙점,학생편의,네컷사진,4000,10-20대,중앙동로데오
하루필름 안산중앙점,학생편의,증명/네컷사진,5000,10-20대,중앙동로데오
아이센스리그PC방 중앙역점,학생편의,PC이용+라면세트,6500,10-20대,중앙동로데오
락휴코인노래연습장 안산중앙점,학생편의,코인노래(4곡),1000,10-20대,중앙동로데오
세븐스타코인노래방 중앙역점,학생편의,코인노래(12곡),3000,10-20대,중앙동로데오
못된고양이 안산중앙점,패션/쇼핑,액세서리/귀걸이,5000,10-20대,중앙동로데오
아트박스 안산중앙점,학생편의,디자인문구/팬시,4000,10-30대,중앙동로데오
명랑핫도그 안산중앙점,학생편의,통모짜핫도그,3000,10-30대,중앙동로데오
신전떡볶이 안산중앙점,학생편의,떡튀순세트,8000,10-20대,중앙동로데오
동대문엽기떡볶이 중앙로데오점,학생편의,엽기떡볶이,14000,10-20대,중앙동로데오
청년다방 안산중앙점,학생편의,차돌떡볶이,17500,10-20대,중앙동로데오
맘스터치 안산중앙점,학생편의,싸이버거세트,6900,10-30대,중앙동로데오
롯데리아 안산중앙점,학생편의,데리버거세트,5600,10-40대,중앙동로데오
버거킹 안산중앙역점,학생편의,와퍼주니어세트,6900,10-40대,중앙동로데오
서브웨이 안산중앙점,학생편의,이탈리안비엠티,6700,10-30대,중앙동로데오
보드게임카페 레드버튼 안산중앙점,학생편의,1시간이용료,3000,10-20대,중앙동로데오
히어로보드게임카페 안산중앙점,학생편의,보드게임+음료셋,7500,10-20대,중앙동로데오
안산스시로 중앙점,일반음식점,회전초밥(기본),15000,10-40대,중앙동로데오
스타벅스 안산중앙역점,카페/디저트,아메리카노,4500,20-40대,중앙동로데오
투썸플레이스 안산중앙점,카페/디저트,조각케이크,6500,20-40대,중앙동로데오
할리스 안산중앙점,카페/디저트,바닐라딜라이트,6200,20-40대,중앙동로데오
다이소 안산중앙점,학생편의,생활잡화,3000,10-50대,중앙동로데오
알라딘중고서점 안산점,학생편의,중고도서,6000,10-40대,중앙동로데오
역전우동0410 안산중앙역점,일반음식점,옛날우동,4500,10-40대,중앙동로데오
홍콩반점0410 안산중앙역점,일반음식점,짜장면,6500,10-40대,중앙동로데오
ABC마트 안산중앙점,패션/쇼핑,스니커즈,35000,10-30대,중앙동로데오
유니클로 안산중앙점,패션/쇼핑,캐주얼의류,29000,10-50대,중앙동로데오
미샤 안산중앙점,패션/쇼핑,화장품,15000,10-40대,중앙동로데오
에뛰드하우스 안산중앙점,패션/쇼핑,뷰티소품,8000,10-20대,중앙동로데오
한신포차 안산중앙점,유흥/성인,한신닭발,18000,20-30대,중앙동로데오
교보문고 안산점,학생편의,일반도서/잡지,15000,10-50대,중앙동로데오
CGV 안산,학생편의,영화예매권,14000,10-40대,중앙동로데오
롯데시네마 안산점,학생편의,영화관람권,14000,10-40대,중앙동로데오
빽다방빵연구소 안산중앙역점,카페/디저트,베이커리류,3500,10-50대,중앙동로데오
노브랜드버거 안산중앙점,학생편의,NBB시그니처세트,6600,10-40대,중앙동로데오
파스쿠찌 안산중앙점,카페/디저트,파니니+커피,9000,20-40대,중앙동로데오
SPAO 안산중앙점,패션/쇼핑,의류/패션잡화,29000,10-20대,중앙동로데오
탑텐 안산중앙점,패션/쇼핑,베이직티셔츠,15000,10-30대,중앙동로데오
올리브영 안산중앙점,패션/쇼핑,화장품/뷰티소품,12000,10-30대,중앙동로데오
두끼 안산중앙점,학생편의,학생무한리필뷔페,9900,10-20대,중앙동로데오
탕화쿵푸마라탕 중앙역점,학생편의,마라탕(기본),7500,10-20대,중앙동로데오
라화공방마라탕 중앙점,학생편의,마라탕꿔바로우세트,8500,10-20대,중앙동로데오
디저트39 안산중앙점,카페/디저트,대용량아메리카노,2900,10-30대,중앙동로데오
빽다방 안산중앙역점,카페/디저트,아이스아메리카노,2000,10-40대,중앙동로데오
메가MGC커피 안산중앙로데오점,카페/디저트,메가리카노,3000,10-50대,중앙동로데오
컴포즈커피 안산중앙점,카페/디저트,아메리카노,1500,10-40대,중앙동로데오
아마스빈 안산중앙점,카페/디저트,타피오카밀크티,4200,10-20대,중앙동로데오
공차 안산중앙점,카페/디저트,블랙밀크티펄,4700,10-20대,중앙동로데오
설빙 안산중앙점,카페/디저트,인절미설빙,9500,10-30대,중앙동로데오
인생네컷 안산중앙로데오점,학생편의,4컷사진(2장),4000,10-20대,중앙동로데오
포토이즘박스 안산중앙점,학생편의,네컷사진,4000,10-20대,중앙동로데오
하루필름 안산중앙점,학생편의,증명/네컷사진,5000,10-20대,중앙동로데오
아이센스리그PC방 중앙역점,학생편의,PC이용+라면세트,6500,10-20대,중앙동로데오
락휴코인노래연습장 안산중앙점,학생편의,코인노래(4곡),1000,10-20대,중앙동로데오
세븐스타코인노래방 중앙역점,학생편의,코인노래(12곡),3000,10-20대,중앙동로데오
못된고양이 안산중앙점,패션/쇼핑,액세서리/귀걸이,5000,10-20대,중앙동로데오
아트박스 안산중앙점,학생편의,디자인문구/팬시,4000,10-30대,중앙동로데오
명랑핫도그 안산중앙점,학생편의,통모짜핫도그,3000,10-30대,중앙동로데오
신전떡볶이 안산중앙점,학생편의,떡튀순세트,8000,10-20대,중앙동로데오
동대문엽기떡볶이 중앙로데오점,학생편의,엽기떡볶이,14000,10-20대,중앙동로데오
청년다방 안산중앙점,학생편의,차돌떡볶이,17500,10-20대,중앙동로데오
맘스터치 안산중앙점,학생편의,싸이버거세트,6900,10-30대,중앙동로데오
롯데리아 안산중앙점,학생편의,데리버거세트,5600,10-40대,중앙동로데오
버거킹 안산중앙역점,학생편의,와퍼주니어세트,6900,10-40대,중앙동로데오
서브웨이 안산중앙점,학생편의,이탈리안비엠티,6700,10-30대,중앙동로데오
보드게임카페 레드버튼 안산중앙점,학생편의,1시간이용료,3000,10-20대,중앙동로데오
히어로보드게임카페 안산중앙점,학생편의,보드게임+음료셋,7500,10-20대,중앙동로데오
안산스시로 중앙점,일반음식점,회전초밥(기본),15000,10-40대,중앙동로데오
스타벅스 안산중앙역점,카페/디저트,아메리카노,4500,20-40대,중앙동로데오
투썸플레이스 안산중앙점,카페/디저트,조각케이크,6500,20-40대,중앙동로데오
할리스 안산중앙점,카페/디저트,바닐라딜라이트,6200,20-40대,중앙동로데오
다이소 안산중앙점,학생편의,생활잡화,3000,10-50대,중앙동로데오
알라딘중고서점 안산점,학생편의,중고도서,6000,10-40대,중앙동로데오
역전우동0410 안산중앙역점,일반음식점,옛날우동,4500,10-40대,중앙동로데오
홍콩반점0410 안산중앙역점,일반음식점,짜장면,6500,10-40대,중앙동로데오
ABC마트 안산중앙점,패션/쇼핑,스니커즈,35000,10-30대,중앙동로데오
유니클로 안산중앙점,패션/쇼핑,캐주얼의류,29000,10-50대,중앙동로데오
미샤 안산중앙점,패션/쇼핑,화장품,15000,10-40대,중앙동로데오
에뛰드하우스 안산중앙점,패션/쇼핑,뷰티소품,8000,10-20대,중앙동로데오
한신포차 안산중앙점,유흥/성인,한신닭발,18000,20-30대,중앙동로데오
교보문고 안산점,학생편의,일반도서/잡지,15000,10-50대,중앙동로데오
CGV 안산,학생편의,영화예매권,14000,10-40대,중앙동로데오
롯데시네마 안산점,학생편의,영화관람권,14000,10-40대,중앙동로데오
빽다방빵연구소 안산중앙역점,카페/디저트,베이커리류,3500,10-50대,중앙동로데오
노브랜드버거 안산중앙점,학생편의,NBB시그니처세트,6600,10-40대,중앙동로데오
파스쿠찌 안산중앙점,카페/디저트,파니니+커피,9000,20-40대,중앙동로데오
