가게이름,업종분류,대표메뉴,평균가격,주타겟층,상권분류
성포 왕돈까스,일반음식점,수제왕돈까스,10500,10-40대,성포고주변
현대식당,일반음식점,가정식백반,8000,30-60대,성포고주변
광장 생삼겹살,고가음식점,생삼겹살,15000,30-50대,성포고주변
동네방네 포차,유흥/성인,골뱅이무침,18000,40-50대,성포고주변
예술광장 치킨호프,유흥/성인,후라이드치킨,19000,30-50대,성포고주변
성포동 아구찜,고가음식점,아구찜(소),35000,40-60대,성포고주변
성포 현대만두,일반음식점,고기만두,5500,10-60대,성포고주변
주공상가 분식,학생편의,떡튀순세트,8500,10-30대,성포고주변
토마토김밥 성포점,일반음식점,참치김밥,4500,10-50대,성포고주변
성포 독서실 카페,학생편의,아메리카노이용권,6000,10-20대,성포고주변
명륜진사갈비 안산성포점,고가음식점,숯불돼지갈비무한리필,19900,20-50대,성포고주변
피자나라치킨공주 안산성포점,일반음식점,피치세트,22900,10-30대,성포고주변
본죽 안산성포점,일반음식점,전복죽,13000,20-60대,성포고주변
김가네 안산성포점,일반음식점,멸추김밥,5500,10-50대,성포고주변
굽네치킨 성포동점,일반음식점,고추바사삭,22000,10-40대,성포고주변
가마로강정 성포점,학생편의,닭강정 컵,6000,10-30대,성포고주변
배스킨라빈스 안산성포점,카페/디저트,파인트,9800,10-40대,성포고주변
던킨 안산성포점,카페/디저트,페이머스 글레이즈드,1500,10-40대,성포고주변
촌장골 안산점 2호점,고가음식점,국내산돼지양념구이,23000,40-50대,성포고주변
성포24시감자탕 2호점,일반음식점,뼈다귀해장국,10000,30-50대,성포고주변
성포정육식당 2호점,고가음식점,삼겹살(200g),16000,30-50대,성포고주변
해산물요리전문점 어부 2호점,고가음식점,생선구이정식,14000,40-50대,성포고주변
민낙지 안산성포본점 2호점,고가음식점,낙지덮밥,14000,30-50대,성포고주변
BHC치킨 안산성포점 2호점,일반음식점,뿌링클,21000,10-30대,성포고주변
도스마스 안산성포점 2호점,학생편의,믹스부리또,5500,10-20대,성포고주변
신참떡볶이 안산성포점 2호점,학생편의,떡볶이세트,8500,10-20대,성포고주변
컴포즈커피 안산성포점 2호점,카페/디저트,아이스아메리카노,1500,10-40대,성포고주변
메가MGC커피 안산성포현대점 2호점,카페/디저트,메가리카노,3000,10-50대,성포고주변
이삭토스트 안산성포점 2호점,학생편의,햄스페셜토스트,3500,10-30대,성포고주변
라화공방마라탕 성포점 2호점,학생편의,마라탕(기본),7000,10-20대,성포고주변
한솥도시락 안산성포동점 2호점,학생편의,치킨마요,3800,10-20대,성포고주변
GS25 성포선경점 2호점,학생편의,편의점도시락,5200,10-30대,성포고주변
다이소 안산성포동점 2호점,학생편의,학용품,2000,10-50대,성포고주변
스타벅스 안산성포DT점 2호점,카페/디저트,카페라떼,5000,20-40대,성포고주변
파리바게뜨 안산성포점 2호점,카페/디저트,단팥빵/소보루,1800,10-50대,성포고주변
아마스빈 안산성포점 2호점,카페/디저트,타피오카밀크티,4200,10-20대,성포고주변
투썸플레이스 안산성포점 2호점,카페/디저트,떠먹는아이스박스,6500,20-40대,성포고주변
디저트39 안산성포점 2호점,카페/디저트,초당옥수수아메리카노,2900,10-30대,성포고주변
빽다방 안산예술광장점 2호점,카페/디저트,빽스치노,3800,10-40대,성포고주변
쥬씨 안산성포점 2호점,카페/디저트,딸바믹스쥬스,3000,10-20대,성포고주변
두끼 안산성포점 2호점,학생편의,학생무한리필뷔페,9900,10-20대,성포고주변
탕화쿵푸마라탕 성포예술광장점 2호점,학생편의,마라탕(100g),1900,10-20대,성포고주변
예술광장노래연습장 2호점,학생편의,청소년코인노래(4곡),1000,10-20대,성포고주변
스타PC방 성포점 2호점,학생편의,1시간이용료,1500,10-20대,성포고주변
인생네컷 안산성포점 2호점,학생편의,4컷사진(2장),4000,10-20대,성포고주변
성포동 소머리국밥 2호점,일반음식점,한우국밥,10000,40-60대,성포고주변
예술광장 통닭 2호점,일반음식점,옛날통닭,9900,30-50대,성포고주변
성포 왕돈까스 2호점,일반음식점,수제왕돈까스,10500,10-40대,성포고주변
현대식당 2호점,일반음식점,가정식백반,8000,30-60대,성포고주변
광장 생삼겹살 2호점,고가음식점,생삼겹살,15000,30-50대,성포고주변
동네방네 포차 2호점,유흥/성인,골뱅이무침,18000,40-50대,성포고주변
예술광장 치킨호프 2호점,유흥/성인,후라이드치킨,19000,30-50대,성포고주변
성포동 아구찜 2호점,고가음식점,아구찜(소),35000,40-60대,성포고주변
성포 현대만두 2호점,일반음식점,고기만두,5500,10-60대,성포고주변
주공상가 분식 2호점,학생편의,떡튀순세트,8500,10-30대,성포고주변
토마토김밥 성포점 2호점,일반음식점,참치김밥,4500,10-50대,성포고주변
성포 독서실 카페 2호점,학생편의,아메리카노이용권,6000,10-20대,성포고주변
명륜진사갈비 안산성포점 2호점,고가음식점,숯불돼지갈비무한리필,19900,20-50대,성포고주변
피자나라치킨공주 안산성포점 2호점,일반음식점,피치세트,22900,10-30대,성포고주변
본죽 안산성포점 2호점,일반음식점,전복죽,13000,20-60대,성포고주변
김가네 안산성포점 2호점,일반음식점,멸추김밥,5500,10-50대,성포고주변
굽네치킨 성포동점 2호점,일반음식점,고추바사삭,22000,10-40대,성포고주변
가마로강정 성포점 2호점,학생편의,닭강정 컵,6000,10-30대,성포고주변
배스킨라빈스 안산성포점 2호점,카페/디저트,파인트,9800,10-40대,성포고주변
던킨 안산성포점 2호점,카페/디저트,페이머스 글레이즈드,1500,10-40대,성포고주변
촌장골 안산점 3호점,고가음식점,국내산돼지양념구이,23000,40-50대,성포고주변
성포24시감자탕 3호점,일반음식점,뼈다귀해장국,10000,30-50대,성포고주변
성포정육식당 3호점,고가음식점,삼겹살(200g),16000,30-50대,성포고주변
해산물요리전문점 어부 3호점,고가음식점,생선구이정식,14000,40-50대,성포고주변
민낙지 안산성포본점 3호점,고가음식점,낙지덮밥,14000,30-50대,성포고주변
BHC치킨 안산성포점 3호점,일반음식점,뿌링클,21000,10-30대,성포고주변
도스마스 안산성포점 3호점,학생편의,믹스부리또,5500,10-20대,성포고주변
신참떡볶이 안산성포점 3호점,학생편의,떡볶이세트,8500,10-20대,성포고주변
컴포즈커피 안산성포점 3호점,카페/디저트,아이스아메리카노,1500,10-40대,성포고주변
메가MGC커피 안산성포현대점 3호점,카페/디저트,메가리카노,3000,10-50대,성포고주변
이삭토스트 안산성포점 3호점,학생편의,햄스페셜토스트,3500,10-30대,성포고주변
라화공방마라탕 성포점 3호점,학생편의,마라탕(기본),7000,10-20대,성포고주변
한솥도시락 안산성포동점 3호점,학생편의,치킨마요,3800,10-20대,성포고주변
GS25 성포선경점 3호점,학생편의,편의점도시락,5200,10-30대,성포고주변
다이소 안산성포동점 3호점,학생편의,학용품,2000,10-50대,성포고주변
스타벅스 안산성포DT점 3호점,카페/디저트,카페라떼,5000,20-40대,성포고주변
파리바게뜨 안산성포점 3호점,카페/디저트,단팥빵/소보루,1800,10-50대,성포고주변
아마스빈 안산성포점 3호점,카페/디저트,타피오카밀크티,4200,10-20대,성포고주변
투썸플레이스 안산성포점 3호점,카페/디저트,떠먹는아이스박스,6500,20-40대,성포고주변
디저트39 안산성포점 3호점,카페/디저트,초당옥수수아메리카노,2900,10-30대,성포고주변
빽다방 안산예술광장점 3호점,카페/디저트,빽스치노,3800,10-40대,성포고주변
쥬씨 안산성포점 3호점,카페/디저트,딸바믹스쥬스,3000,10-20대,성포고주변
두끼 안산성포점 3호점,학생편의,학생무한리필뷔페,9900,10-20대,성포고주변
탕화쿵푸마라탕 성포예술광장점 3호점,학생편의,마라탕(100g),1900,10-20대,성포고주변
예술광장노래연습장 3호점,학생편의,청소년코인노래(4곡),1000,10-20대,성포고주변
스타PC방 성포점 3호점,학생편의,1시간이용료,1500,10-20대,성포고주변
인생네컷 안산성포점 3호점,학생편의,4컷사진(2장),4000,10-20대,성포고주변
성포동 소머리국밥 3호점,일반음식점,한우국밥,10000,40-60대,성포고주변
예술광장 통닭 3호점,일반음식점,옛날통닭,9900,30-50대,성포고주변
성포 왕돈까스 3호점,일반음식점,수제왕돈까스,10500,10-40대,성포고주변
현대식당 3호점,일반음식점,가정식백반,8000,30-60대,성포고주변
광장 생삼겹살 3호점,고가음식점,생삼겹살,15000,30-50대,성포고주변
동네방네 포차 3호점,유흥/성인,골뱅이무침,18000,40-50대,성포고주변
예술광장 치킨호프 3호점,유흥/성인,후라이드치킨,19000,30-50대,성포고주변
성포동 아구찜 3호점,고가음식점,아구찜(소),35000,40-60대,성포고주변
성포 현대만두 3호점,일반음식점,고기만두,5500,10-60대,성포고주변
주공상가 분식 3호점,학생편의,떡튀순세트,8500,10-30대,성포고주변
토마토김밥 성포점 3호점,일반음식점,참치김밥,4500,10-50대,성포고주변
성포 독서실 카페 3호점,학생편의,아메리카노이용권,6000,10-20대,성포고주변
명륜진사갈비 안산성포점 3호점,고가음식점,숯불돼지갈비무한리필,19900,20-50대,성포고주변
피자나라치킨공주 안산성포점 3호점,일반음식점,피치세트,22900,10-30대,성포고주변
본죽 안산성포점 3호점,일반음식점,전복죽,13000,20-60대,성포고주변
김가네 안산성포점 3호점,일반음식점,멸추김밥,5500,10-50대,성포고주변
굽네치킨 성포동점 3호점,일반음식점,고추바사삭,22000,10-40대,성포고주변
가마로강정 성포점 3호점,학생편의,닭강정 컵,6000,10-30대,성포고주변
배스킨라빈스 안산성포점 3호점,카페/디저트,파인트,9800,10-40대,성포고주변
던킨 안산성포점 3호점,카페/디저트,페이머스 글레이즈드,1500,10-40대,성포고주변
촌장골 안산점 4호점,고가음식점,국내산돼지양념구이,23000,40-50대,성포고주변
성포24시감자탕 4호점,일반음식점,뼈다귀해장국,10000,30-50대,성포고주변
성포정육식당 4호점,고가음식점,삼겹살(200g),16000,30-50대,성포고주변
해산물요리전문점 어부 4호점,고가음식점,생선구이정식,14000,40-50대,성포고주변
민낙지 안산성포본점 4호점,고가음식점,낙지덮밥,14000,30-50대,성포고주변
BHC치킨 안산성포점 4호점,일반음식점,뿌링클,21000,10-30대,성포고주변
도스마스 안산성포점 4호점,학생편의,믹스부리또,5500,10-20대,성포고주변
신참떡볶이 안산성포점 4호점,학생편의,떡볶이세트,8500,10-20대,성포고주변
컴포즈커피 안산성포점 4호점,카페/디저트,아이스아메리카노,1500,10-40대,성포고주변
메가MGC커피 안산성포현대점 4호점,카페/디저트,메가리카노,3000,10-50대,성포고주변
이삭토스트 안산성포점 4호점,학생편의,햄스페셜토스트,3500,10-30대,성포고주변
라화공방마라탕 성포점 4호점,학생편의,마라탕(기본),7000,10-20대,성포고주변
한솥도시락 안산성포동점 4호점,학생편의,치킨마요,3800,10-20대,성포고주변
GS25 성포선경점 4호점,학생편의,편의점도시락,5200,10-30대,성포고주변
다이소 안산성포동점 4호점,학생편의,학용품,2000,10-50대,성포고주변
스타벅스 안산성포DT점 4호점,카페/디저트,카페라떼,5000,20-40대,성포고주변
파리바게뜨 안산성포점 4호점,카페/디저트,단팥빵/소보루,1800,10-50대,성포고주변
아마스빈 안산성포점 4호점,카페/디저트,타피오카밀크티,4200,10-20대,성포고주변
투썸플레이스 안산성포점 4호점,카페/디저트,떠먹는아이스박스,6500,20-40대,성포고주변
디저트39 안산성포점 4호점,카페/디저트,초당옥수수아메리카노,2900,10-30대,성포고주변
빽다방 안산예술광장점 4호점,카페/디저트,빽스치노,3800,10-40대,성포고주변
쥬씨 안산성포점 4호점,카페/디저트,딸바믹스쥬스,3000,10-20대,성포고주변
두끼 안산성포점 4호점,학생편의,학생무한리필뷔페,9900,10-20대,성포고주변
탕화쿵푸마라탕 성포예술광장점 4호점,학생편의,마라탕(100g),1900,10-20대,성포고주변
예술광장노래연습장 4호점,학생편의,청소년코인노래(4곡),1000,10-20대,성포고주변
스타PC방 성포점 4호점,학생편의,1시간이용료,1500,10-20대,성포고주변
인생네컷 안산성포점 4호점,학생편의,4컷사진(2장),4000,10-20대,성포고주변
성포동 소머리국밥 4호점,일반음식점,한우국밥,10000,40-60대,성포고주변
예술광장 통닭 4호점,일반음식점,옛날통닭,9900,30-50대,성포고주변
성포 왕돈까스 4호점,일반음식점,수제왕돈까스,10500,10-40대,성포고주변
현대식당 4호점,일반음식점,가정식백반,8000,30-60대,성포고주변
광장 생삼겹살 4호점,고가음식점,생삼겹살,15000,30-50대,성포고주변
동네방네 포차 4호점,유흥/성인,골뱅이무침,18000,40-50대,성포고주변
예술광장 치킨호프 4호점,유흥/성인,후라이드치킨,19000,30-50대,성포고주변
성포동 아구찜 4호점,고가음식점,아구찜(소),35000,40-60대,성포고주변
성포 현대만두 4호점,일반음식점,고기만두,5500,10-60대,성포고주변
주공상가 분식 4호점,학생편의,떡튀순세트,8500,10-30대,성포고주변
토마토김밥 성포점 4호점,일반음식점,참치김밥,4500,10-50대,성포고주변
성포 독서실 카페 4호점,학생편의,아메리카노이용권,6000,10-20대,성포고주변
명륜진사갈비 안산성포점 4호점,고가음식점,숯불돼지갈비무한리필,19900,20-50대,성포고주변
피자나라치킨공주 안산성포점 4호점,일반음식점,피치세트,22900,10-30대,성포고주변
본죽 안산성포점 4호점,일반음식점,전복죽,13000,20-60대,성포고주변
김가네 안산성포점 4호점,일반음식점,멸추김밥,5500,10-50대,성포고주변
굽네치킨 성포동점 4호점,일반음식점,고추바사삭,22000,10-40대,성포고주변
가마로강정 성포점 4호점,학생편의,닭강정 컵,6000,10-30대,성포고주변
배스킨라빈스 안산성포점 4호점,카페/디저트,파인트,9800,10-40대,성포고주변
던킨 안산성포점 4호점,카페/디저트,페이머스 글레이즈드,1500,10-40대,성포고주변
촌장골 안산점 5호점,고가음식점,국내산돼지양념구이,23000,40-50대,성포고주변
성포24시감자탕 5호점,일반음식점,뼈다귀해장국,10000,30-50대,성포고주변
성포정육식당 5호점,고가음식점,삼겹살(200g),16000,30-50대,성포고주변
해산물요리전문점 어부 5호점,고가음식점,생선구이정식,14000,40-50대,성포고주변
민낙지 안산성포본점 5호점,고가음식점,낙지덮밥,14000,30-50대,성포고주변
BHC치킨 안산성포점 5호점,일반음식점,뿌링클,21000,10-30대,성포고주변
도스마스 안산성포점 5호점,학생편의,믹스부리또,5500,10-20대,성포고주변
신참떡볶이 안산성포점 5호점,학생편의,떡볶이세트,8500,10-20대,성포고주변
컴포즈커피 안산성포점 5호점,카페/디저트,아이스아메리카노,1500,10-40대,성포고주변
메가MGC커피 안산성포현대점 5호점,카페/디저트,메가리카노,3000,10-50대,성포고주변
이삭토스트 안산성포점 5호점,학생편의,햄스페셜토스트,3500,10-30대,성포고주변
라화공방마라탕 성포점 5호점,학생편의,마라탕(기본),7000,10-20대,성포고주변
SPAO 안산중앙점,패션/쇼핑,의류/패션잡화,29000,10-20대,중앙동로데오
탑텐 안산중앙점,패션/쇼핑,베이직티셔츠,15000,10-30대,중앙동로데오
올리브영 안산중앙점,패션/쇼핑,화장품/뷰티소품,12000,10-30대,중앙동로데오
두끼 안산중앙점,학생편의,학생무한리필뷔페,9900,10-20대,중앙동로데오
탕화쿵푸마라탕 중앙역점,학생편의,마라탕(기본),7500,10-20대,중앙동로데오
라화공방마라탕 중앙점,학생편의,마라탕꿔바로우세트,8500,10-20대,중앙동로데오
디저트39 안산중앙점,카페/디저트,대용량아메리카노,2900,10-30대,중앙동로데오
빽다방 안산중앙역점,카페/디저트,아이스아메리카노,2000,10-40대,중앙동로데오
메가MGC커피 안산중앙로데오점,카페/디저트,메가리카노,3000,10-50대,중앙동로데오
컴포즈커피 안산중앙점,카페/디저트,아메리카노,1500,10-40대,중앙동로데오
아마스빈 안산중앙점,카페/디저트,타피오카밀크티,4200,10-20대,중앙동로데오
공차 안산중앙점,카페/디저트,블랙밀크티펄,4700,10-20대,중앙동로데오
설빙 안산중앙점,카페/디저트,인절미설빙,9500,10-30대,중앙동로데오
인생네컷 안산중앙로데오점,학생편의,4컷사진(2장),4000,10-20대,중앙동로데오
포토이즘박스 안산중앙점,학생편의,네컷사진,4000,10-20대,중앙동로데오
하루필름 안산중앙점,학생편의,증명/네컷사진,5000,10-20대,중앙동로데오
아이센스리그PC방 중앙역점,학생편의,PC이용+라면세트,6500,10-20대,중앙동로데오
락휴코인노래연습장 안산중앙점,학생편의,코인노래(4곡),1000,10-20대,중앙동로데오
세븐스타코인노래방 중앙역점,학생편의,코인노래(12곡),3000,10-20대,중앙동로데오
못된고양이 안산중앙점,패션/쇼핑,액세서리/귀걸이,5000,10-20대,중앙동로데오
아트박스 안산중앙점,학생편의,디자인문구/팬시,4000,10-30대,중앙동로데오
명랑핫도그 안산중앙점,학생편의,통모짜핫도그,3000,10-30대,중앙동로데오
신전떡볶이 안산중앙점,학생편의,떡튀순세트,8000,10-20대,중앙동로데오
동대문엽기떡볶이 중앙로데오점,학생편의,엽기떡볶이,14000,10-20대,중앙동로데오
청년다방 안산중앙점,학생편의,차돌떡볶이,17500,10-20대,중앙동로데오
맘스터치 안산중앙점,학생편의,싸이버거세트,6900,10-30대,중앙동로데오
롯데리아 안산중앙점,학생편의,데리버거세트,5600,10-40대,중앙동로데오
버거킹 안산중앙역점,학생편의,와퍼주니어세트,6900,10-40대,중앙동로데오
서브웨이 안산중앙점,학생편의,이탈리안비엠티,6700,10-30대,중앙동로데오
보드게임카페 레드버튼 중앙점,학생편의,1시간이용료,3000,10-20대,중앙동로데오
히어로보드게임카페 안산중앙점,학생편의,보드게임+음료셋,7500,10-20대,중앙동로데오
안산스시로 중앙점,일반음식점,회전초밥(기본),15000,10-40대,중앙동로데오
중앙동 보세의류 편집숍,패션/쇼핑,트렌디 셔츠,18000,10-20대,중앙동로데오
중앙동 빈티지숍,패션/쇼핑,구제의류,15000,10-20대,중앙동로데오
로데오 소품액세서리점,패션/쇼핑,캐릭터 키링,4500,10-20대,중앙동로데오
중앙로데오 타로사주,학생편의,학업/연애 타로,5000,10-20대,중앙동로데오
중앙동 탕후루전문점,카페/디저트,딸기탕후루,3000,10-20대,중앙동로데오
로데오 캐주얼파스타,일반음식점,토마토 파스타,8900,10-30대,중앙동로데오
중앙동 감성포차,유흥/성인,트렌디 안주류,15000,20-30대,중앙동로데오
SPAO 안산중앙점 2호점,패션/쇼핑,의류/패션잡화,29000,10-20대,중앙동로데오
탑텐 안산중앙점 2호점,패션/쇼핑,베이직티셔츠,15000,10-30대,중앙동로데오
올리브영 안산중앙점 2호점,패션/쇼핑,화장품/뷰티소품,12000,10-30대,중앙동로데오
두끼 안산중앙점 2호점,학생편의,학생무한리필뷔페,9900,10-20대,중앙동로데오
탕화쿵푸마라탕 중앙역점 2호점,학생편의,마라탕(기본),7500,10-20대,중앙동로데오
라화공방마라탕 중앙점 2호점,학생편의,마라탕꿔바로우세트,8500,10-20대,중앙동로데오
디저트39 안산중앙점 2호점,카페/디저트,대용량아메리카노,2900,10-30대,중앙동로데오
빽다방 안산중앙역점 2호점,카페/디저트,아이스아메리카노,2000,10-40대,중앙동로데오
메가MGC커피 안산중앙로데오점 2호점,카페/디저트,메가리카노,3000,10-50대,중앙동로데오
컴포즈커피 안산중앙점 2호점,카페/디저트,아메리카노,1500,10-40대,중앙동로데오
아마스빈 안산중앙점 2호점,카페/디저트,타피오카밀크티,4200,10-20대,중앙동로데오
공차 안산중앙점 2호점,카페/디저트,블랙밀크티펄,4700,10-20대,중앙동로데오
설빙 안산중앙점 2호점,카페/디저트,인절미설빙,9500,10-30대,중앙동로데오
인생네컷 안산중앙로데오점 2호점,학생편의,4컷사진(2장),4000,10-20대,중앙동로데오
포토이즘박스 안산중앙점 2호점,학생편의,네컷사진,4000,10-20대,중앙동로데오
하루필름 안산중앙점 2호점,학생편의,증명/네컷사진,5000,10-20대,중앙동로데오
아이센스리그PC방 중앙역점 2호점,학생편의,PC이용+라면세트,6500,10-20대,중앙동로데오
락휴코인노래연습장 안산중앙점 2호점,학생편의,코인노래(4곡),1000,10-20대,중앙동로데오
세븐스타코인노래방 중앙역점 2호점,학생편의,코인노래(12곡),3000,10-20대,중앙동로데오
못된고양이 안산중앙점 2호점,패션/쇼핑,액세서리/귀걸이,5000,10-20대,중앙동로데오
아트박스 안산중앙점 2호점,학생편의,디자인문구/팬시,4000,10-30대,중앙동로데오
명랑핫도그 안산중앙점 2호점,학생편의,통모짜핫도그,3000,10-30대,중앙동로데오
신전떡볶이 안산중앙점 2호점,학생편의,떡튀순세트,8000,10-20대,중앙동로데오
동대문엽기떡볶이 중앙로데오점 2호점,학생편의,엽기떡볶이,14000,10-20대,중앙동로데오
청년다방 안산중앙점 2호점,학생편의,차돌떡볶이,17500,10-20대,중앙동로데오
맘스터치 안산중앙점 2호점,학생편의,싸이버거세트,6900,10-30대,중앙동로데오
롯데리아 안산중앙점 2호점,학생편의,데리버거세트,5600,10-40대,중앙동로데오
버거킹 안산중앙역점 2호점,학생편의,와퍼주니어세트,6900,10-40대,중앙동로데오
서브웨이 안산중앙점 2호점,학생편의,이탈리안비엠티,6700,10-30대,중앙동로데오
보드게임카페 레드버튼 중앙점 2호점,학생편의,1시간이용료,3000,10-20대,중앙동로데오
히어로보드게임카페 안산중앙점 2호점,학생편의,보드게임+음료셋,7500,10-20대,중앙동로데오
안산스시로 중앙점 2호점,일반음식점,회전초밥(기본),15000,10-40대,중앙동로데오
중앙동 보세의류 편집숍 2호점,패션/쇼핑,트렌디 셔츠,18000,10-20대,중앙동로데오
중앙동 빈티지숍 2호점,패션/쇼핑,구제의류,15000,10-20대,중앙동로데오
로데오 소품액세서리점 2호점,패션/쇼핑,캐릭터 키링,4500,10-20대,중앙동로데오
중앙로데오 타로사주 2호점,학생편의,학업/연애 타로,5000,10-20대,중앙동로데오
중앙동 탕후루전문점 2호점,카페/디저트,딸기탕후루,3000,10-20대,중앙동로데오
로데오 캐주얼파스타 2호점,일반음식점,토마토 파스타,8900,10-30대,중앙동로데오
중앙동 감성포차 2호점,유흥/성인,트렌디 안주류,15000,20-30대,중앙동로데오
SPAO 안산중앙점 3호점,패션/쇼핑,의류/패션잡화,29000,10-20대,중앙동로데오
탑텐 안산중앙점 3호점,패션/쇼핑,베이직티셔츠,15000,10-30대,중앙동로데오
올리브영 안산중앙점 3호점,패션/쇼핑,화장품/뷰티소품,12000,10-30대,중앙동로데오
두끼 안산중앙점 3호점,학생편의,학생무한리필뷔페,9900,10-20대,중앙동로데오
탕화쿵푸마라탕 중앙역점 3호점,학생편의,마라탕(기본),7500,10-20대,중앙동로데오
라화공방마라탕 중앙점 3호점,학생편의,마라탕꿔바로우세트,8500,10-20대,중앙동로데오
디저트39 안산중앙점 3호점,카페/디저트,대용량아메리카노,2900,10-30대,중앙동로데오
빽다방 안산중앙역점 3호점,카페/디저트,아이스아메리카노,2000,10-40대,중앙동로데오
메가MGC커피 안산중앙로데오점 3호점,카페/디저트,메가리카노,3000,10-50대,중앙동로데오
컴포즈커피 안산중앙점 3호점,카페/디저트,아메리카노,1500,10-40대,중앙동로데오
아마스빈 안산중앙점 3호점,카페/디저트,타피오카밀크티,4200,10-20대,중앙동로데오
공차 안산중앙점 3호점,카페/디저트,블랙밀크티펄,4700,10-20대,중앙동로데오
설빙 안산중앙점 3호점,카페/디저트,인절미설빙,9500,10-30대,중앙동로데오
인생네컷 안산중앙로데오점 3호점,학생편의,4컷사진(2장),4000,10-20대,중앙동로데오
포토이즘박스 안산중앙점 3호점,학생편의,네컷사진,4000,10-20대,중앙동로데오
하루필름 안산중앙점 3호점,학생편의,증명/네컷사진,5000,10-20대,중앙동로데오
아이센스리그PC방 중앙역점 3호점,학생편의,PC이용+라면세트,6500,10-20대,중앙동로데오
락휴코인노래연습장 안산중앙점 3호점,학생편의,코인노래(4곡),1000,10-20대,중앙동로데오
세븐스타코인노래방 중앙역점 3호점,학생편의,코인노래(12곡),3000,10-20대,중앙동로데오
못된고양이 안산중앙점 3호점,패션/쇼핑,액세서리/귀걸이,5000,10-20대,중앙동로데오
아트박스 안산중앙점 3호점,학생편의,디자인문구/팬시,4000,10-30대,중앙동로데오
명랑핫도그 안산중앙점 3호점,학생편의,통모짜핫도그,3000,10-30대,중앙동로데오
신전떡볶이 안산중앙점 3호점,학생편의,떡튀순세트,8000,10-20대,중앙동로데오
동대문엽기떡볶이 중앙로데오점 3호점,학생편의,엽기떡볶이,14000,10-20대,중앙동로데오
청년다방 안산중앙점 3호점,학생편의,차돌떡볶이,17500,10-20대,중앙동로데오
맘스터치 안산중앙점 3호점,학생편의,싸이버거세트,6900,10-30대,중앙동로데오
롯데리아 안산중앙점 3호점,학생편의,데리버거세트,5600,10-40대,중앙동로데오
버거킹 안산중앙역점 3호점,학생편의,와퍼주니어세트,6900,10-40대,중앙동로데오
서브웨이 안산중앙점 3호점,학생편의,이탈리안비엠티,6700,10-30대,중앙동로데오
보드게임카페 레드버튼 중앙점 3호점,학생편의,1시간이용료,3000,10-20대,중앙동로데오
히어로보드게임카페 안산중앙점 3호점,학생편의,보드게임+음료셋,7500,10-20대,중앙동로데오
안산스시로 중앙점 3호점,일반음식점,회전초밥(기본),15000,10-40대,중앙동로데오
중앙동 보세의류 편집숍 3호점,패션/쇼핑,트렌디 셔츠,18000,10-20대,중앙동로데오
중앙동 빈티지숍 3호점,패션/쇼핑,구제의류,15000,10-20대,중앙동로데오
로데오 소품액세서리점 3호점,패션/쇼핑,캐릭터 키링,4500,10-20대,중앙동로데오
중앙로데오 타로사주 3호점,학생편의,학업/연애 타로,5000,10-20대,중앙동로데오
